library,function,line,file,logging_type
logging.debug,logging.debug,377,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\google\cloud\streaming\http_wrapper.py,Python logging
logging.warning,logging.warning,61,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\googledatastore\connection.py,Python logging
flask.current_app.logger.error,current_app.logger.error,448,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\oauth2client\contrib\flask_util.py,Python logging
flask.current_app.logger.error,current_app.logger.error,464,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\oauth2client\contrib\flask_util.py,Python logging
oauth2client.contrib.locked_file.logger.warn,locked_file.logger.warn,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\oauth2client\contrib\_fcntl_opener.py,Python logging
oauth2client.contrib.locked_file.logger.warn,locked_file.logger.warn,73,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\oauth2client\contrib\_win32_opener.py,Python logging
logging.exception,logging.exception,73,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\pbr\core.py,Python logging
logging.info,logging.info,139,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\coders\standard_coders_test.py,Python logging
logging.info,logging.info,153,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\avro_bitcoin.py,Python logging
logging.info,logging.info,156,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\avro_bitcoin.py,Python logging
logging.info,logging.info,32,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\distribopt_test.py,Python logging
logging.error,logging.error,108,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\game\game_stats.py,Python logging
logging.debug,logging.debug,79,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\game\game_stats_it_test.py,Python logging
logging.error,logging.error,109,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\game\hourly_team_score.py,Python logging
logging.error,logging.error,117,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\game\leader_board.py,Python logging
logging.debug,logging.debug,81,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\game\leader_board_it_test.py,Python logging
logging.error,logging.error,81,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\game\user_score.py,Python logging
logging.info,logging.info,31,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\tfidf_test.py,Python logging
logging.info,logging.info,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\tfidf_test.py,Python logging
logging.info,logging.info,72,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\complete\tfidf_test.py,Python logging
logging.info,logging.info,185,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\examples\cookbook\bigtableio_it_test.py,Python logging
