library,function,line,file
torch.ao.ns._numeric_suite_fx.extract_shadow_logger_info,extract_shadow_logger_info,960,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\quantization\fx\test_numeric_suite_fx.py
torch.utils.tensorboard.summary._calc_scale_factor,summary._calc_scale_factor,180,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard._utils._prepare_video,_prepare_video,195,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.histogram,summary.histogram,354,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.image_boxes,summary.image_boxes,361,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.image,summary.image,368,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.video,summary.video,399,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.audio,summary.audio,404,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.text,summary.text,407,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.custom_scalars,summary.custom_scalars,428,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.hparams,summary.hparams,433,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.mesh,summary.mesh,489,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard.summary.scalar,summary.scalar,493,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
tensorboard.compat.proto.summary_pb2.Summary,Summary,523,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
torch.utils.tensorboard._pytorch_graph.graph,graph,563,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\test_tensorboard.py
tensorboard.plugins.hparams.api_pb2.HParamInfo,HParamInfo,173,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.DataType.Value,DataType.Value,175,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.plugin_data_pb2.HParamsPluginData,HParamsPluginData,234,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.summary_pb2.SummaryMetadata,SummaryMetadata,235,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.summary_pb2.SummaryMetadata.PluginData,SummaryMetadata.PluginData,236,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
